REGION,NAME,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
South,Alabama,5024803,5039877,5074296,5108468
West,Alaska,732441,732673,733583,733406
West,Arizona,7177986,7276316,7359197,7431344
South,Arkansas,3012232,3025891,3045637,3067732
West,California,39499738,39237836,39029342,38965193
West,Colorado,5784308,5812069,5839926,5877610
Northeast,Connecticut,3600260,3605597,3626205,3617176
South,Delaware,991886,1003384,1018396,1031890
South,"District of Columbia",690093,670050,671803,678972
South,Florida,21569932,21781128,22244823,22610726
South,Georgia,10725800,10799566,10912876,11029227
West,Hawaii,1451911,1441553,1440196,1435138
West,Idaho,1847772,1900923,1939033,1964726
Midwest,Illinois,12785245,12671469,12582032,12549689
Midwest,Indiana,6785644,6805985,6833037,6862199
Midwest,Iowa,3188669,3193079,3200517,3207004
Midwest,Kansas,2935880,2934582,2937150,2940546
South,Kentucky,4503958,4509394,4512310,4526154
South,Louisiana,4651203,4624047,4590241,4573749
Northeast,Maine,1362280,1372247,1385340,1395722
South,Maryland,6172679,6165129,6164660,6180253
Northeast,Massachusetts,7022220,6984723,6981974,7001399
Midwest,Michigan,10067664,10050811,10034113,10037261
Midwest,Minnesota,5707165,5707390,5717184,5737915
South,Mississippi,2956870,2949965,2940057,2939690
Midwest,Missouri,6154481,6168187,6177957,6196156
West,Montana,1086193,1104271,1122867,1132812
Midwest,Nebraska,1961455,1963692,1967923,1978379
West,Nevada,3114071,3143991,3177772,3194176
Northeast,"New Hampshire",1377848,1388992,1395231,1402054
Northeast,"New Jersey",9279743,9267130,9261699,9290841
West,"New Mexico",2117566,2115877,2113344,2114371
Northeast,"New York",20154933,19835913,19677151,19571216
South,"North Carolina",10457177,10551162,10698973,10835491
Midwest,"North Dakota",778962,774948,779261,783926
Midwest,Ohio,11790587,11780017,11756058,11785935
South,Oklahoma,3962031,3986639,4019800,4053824
West,Oregon,4241544,4246155,4240137,4233358
Northeast,Pennsylvania,12989625,12964056,12972008,12961683
Northeast,"Rhode Island",1096229,1095610,1093734,1095962
South,"South Carolina",5130729,5190705,5282634,5373555
Midwest,"South Dakota",887099,895376,909824,919318
South,Tennessee,6920119,6975218,7051339,7126489
South,Texas,29217653,29527941,30029572,30503301
West,Utah,3281684,3337975,3380800,3417734
Northeast,Vermont,642495,645570,647064,647464
South,Virginia,8632044,8642274,8683619,8715698
West,Washington,7718785,7738692,7785786,7812880
South,"West Virginia",1789798,1782959,1775156,1770071
Midwest,Wisconsin,5892323,5895908,5892539,5910955
West,Wyoming,577267,578803,581381,584057
